Validator Address,Validator Moniker,Commission,Outstanding Rewards,Cumulative Earnings
fxvaloper16evwmqjz8gd2wwl3qu83a3f3mlkp4yelqew850,Shenzhen,38949245891294828653539.311599332411993938,377518302186481261648267.426885193768784683,4.164675480777760903e+23
fxvaloper1mgukftytaqvwew57qvqz8yv380vhh8zs2562zz,Nodes Hub | 0% Fees | Restake ✅,0,0,0
fxvaloper1ms606vz2zrxw7752y5ae8z4zyp52ajjacv9qyd,Miami,63210333928541084509682.391683923971953959,580471443179695342034171.045613319786986752,6.4368177710823642654e+23
fxvaloper1mc84eaz33l77ue6s53c482lu6fvq5uexmyea8h,Janc,1649924124104444627389.630774978925462287,492713868209308336114638.070702286250157403,4.9436379233341278074e+23
fxvaloper1maactzfltlrr304dsnm8fffjtupcs4ehjedchy,Seoul,41267691848904824841470.081089299628464684,325817640583620824397056.545826746201668773,3.6708533243252564924e+23
fxvaloper1u2736s9hm43ds6xxje0d2qhhy2m56akaf8up7t,Delhi,39585576371320686867963.838027041329043786,360286304391202918755414.558505383150187730,3.9987188076252360562e+23
fxvaloper1umj9xqdv7q2quvtks8j66mwrj9wcfqp4486qgn,ClaudioﾒBarros,491367816265047995516.858763657033886534,488071656660564285987795.257125681527810918,4.8856302447682933398e+23
fxvaloper1at963yw7r95lchuzuulqpkska5wwz2sck9tc9x,FX FriendsX,72548165066106716267.446307290999847643,109170571049514254788697.648284081862709719,1.092431192145803615e+23
fxvaloper1as2rwvnayy30pzjy7aw35dcsja6g98nd87r8vp,European University Cyprus,12758211859018283797549.107416261924811693,543397466026602466964646.230999116083303291,5.5615567788562075076e+23
fxvaloper1astdkdrxlgylehy0jpqv2e357kl6pq0ccq4u73,nexus,4554334809368779987786.059286495122447334,589991362843663652409424.379504387060613694,5.945456976530324324e+23
fxvaloper1a73plz6w7fc8ydlwxddanc7a239kk45jnl9xwj,Singapore,232758157363270107747363.218693963065644804,1607488470106979681032095.271837281183072783,1.8402466274702497888e+24
fxvaloper1780uflqpght7etzq8auv0ram6rwy3wd69vdxc9,🦊Fox🦊,1447356782072231045335.542240455418669967,405185585839201796802484.622207247710924665,4.0663294262127402785e+23
fxvaloper175yk2n6dq66kl3m8rsqn5yfqf4jkegnlvcce0a,Aghanism,901727484441757343640.931710616118654190,33644371774185255787319.044733591445773018,3.4546099258627013131e+22
fxvaloper17k6kc0mqnnccqqgkm3d2nzp0jqxpjutxhqyay6,NewYork,56269768696631546379518.015467914749392640,735351132373017764593547.881111654925870357,7.9162090106964931097e+23
fxvaloper1lgzkn292ap2a4t8dvsq0cf5qfkkuplcnztcnvp,Alif,2500591125315438938857.770680518343069246,638129352117435806917749.613159321045691592,6.4062994324275124586e+23
fxvaloper1lt63jj4mc66q047ujxl3w77c53fks25s4ke5vc,BYTEX,0.099029624557178115,969268549342344466.999233748348566792,969268549342344467.1
fxvaloper1lndmmg7ewcxkw43rqhs0mmek5wskxn5xxe96yc,LeValidateurFX,52097301374618230370.832156971069092369,52645773120155002506.633441853632772442,104743074494773232880
